RouteDataID,CountryNum,StateNum,Route,RPID,Year,AOU,Count10,Count20,Count30,Count40,Count50,StopTotal,SpeciesTotal
6243648,124,62,016,101,2001,00070,0   ,0   ,2   ,0   ,1   ,2 ,3   
6243648,124,62,016,101,2001,00100,1   ,5   ,6   ,1   ,0   ,7 ,13  
6243648,124,62,016,101,2001,00370,0   ,1   ,0   ,0   ,0   ,1 ,1   
6243648,124,62,016,101,2001,00380,0   ,0   ,0   ,0   ,1   ,1 ,1   
6243648,124,62,016,101,2001,00510,32  ,11  ,17  ,2   ,3   ,21,65  
6243648,124,62,016,101,2001,00710,83  ,0   ,0   ,0   ,0   ,3 ,83  
6243648,124,62,016,101,2001,01390,1   ,1   ,0   ,0   ,0   ,2 ,2   
6243648,124,62,016,101,2001,01420,2   ,0   ,0   ,0   ,0   ,1 ,2   
6243648,124,62,016,101,2001,01430,8   ,0   ,8   ,2   ,0   ,6 ,18  
6243648,124,62,016,101,2001,01480,2   ,0   ,0   ,0   ,0   ,1 ,2   
6243648,124,62,016,101,2001,01540,46  ,3   ,2   ,0   ,2   ,10,53  
6243648,124,62,016,101,2001,01590,6   ,12  ,0   ,0   ,0   ,5 ,18  
6243648,124,62,016,101,2001,01690,72  ,221 ,11  ,35  ,0   ,16,339 
6243648,124,62,016,101,2001,01720,1   ,9   ,17  ,4   ,0   ,11,31  
6243648,124,62,016,101,2001,01800,4   ,7   ,0   ,5   ,4   ,10,20  
6243648,124,62,016,101,2001,02060,0   ,0   ,2   ,0   ,2   ,3 ,4   
6243648,124,62,016,101,2001,02230,3   ,0   ,0   ,0   ,0   ,1 ,3   
6243648,124,62,016,101,2001,02430,0   ,2   ,0   ,0   ,0   ,1 ,2   
6243648,124,62,016,101,2001,02460,3   ,7   ,3   ,2   ,0   ,12,15  
6243648,124,62,016,101,2001,02650,7   ,0   ,0   ,0   ,0   ,2 ,7   
6243648,124,62,016,101,2001,02740,2   ,3   ,0   ,0   ,0   ,5 ,5   
6243648,124,62,016,101,2001,04740,3   ,1   ,1   ,6   ,1   ,7 ,12  
6243648,124,62,016,101,2001,05275,0   ,3   ,0   ,5   ,2   ,7 ,10  
6243648,124,62,016,101,2001,05340,4   ,1   ,0   ,0   ,0   ,4 ,5   
6243648,124,62,016,101,2001,05360,21  ,25  ,22  ,18  ,16  ,42,102 
6243648,124,62,016,101,2001,05420,5   ,9   ,10  ,2   ,3   ,22,29  
6243648,124,62,016,101,2001,05540,6   ,1   ,0   ,0   ,0   ,5 ,7   
6243648,124,62,016,101,2001,06970,1   ,0   ,0   ,5   ,0   ,5 ,6   
6245708,124,62,016,101,2002,00070,0   ,0   ,0   ,0   ,2   ,2 ,2   
6245708,124,62,016,101,2002,00100,6   ,12  ,1   ,5   ,0   ,10,24  
6245708,124,62,016,101,2002,00110,0   ,0   ,0   ,2   ,0   ,1 ,2   
6245708,124,62,016,101,2002,00370,0   ,0   ,0   ,1   ,0   ,1 ,1   
6245708,124,62,016,101,2002,00380,0   ,5   ,0   ,0   ,2   ,3 ,7   
6245708,124,62,016,101,2002,00420,0   ,1   ,0   ,0   ,0   ,1 ,1   
6245708,124,62,016,101,2002,00510,38  ,88  ,33  ,9   ,2   ,32,170 
6245708,124,62,016,101,2002,00710,17  ,0   ,0   ,0   ,0   ,2 ,17  
6245708,124,62,016,101,2002,01300,0   ,0   ,0   ,0   ,2   ,2 ,2   
6245708,124,62,016,101,2002,01390,3   ,0   ,0   ,0   ,0   ,1 ,3   
6245708,124,62,016,101,2002,01420,0   ,0   ,0   ,2   ,0   ,1 ,2   
6245708,124,62,016,101,2002,01430,4   ,2   ,6   ,1   ,2   ,7 ,15  
6245708,124,62,016,101,2002,01480,3   ,6   ,0   ,0   ,0   ,2 ,9   
6245708,124,62,016,101,2002,01540,14  ,6   ,9   ,0   ,6   ,16,35  
6245708,124,62,016,101,2002,01590,60  ,17  ,0   ,0   ,0   ,11,77  
6245708,124,62,016,101,2002,01620,1   ,0   ,0   ,0   ,0   ,1 ,1   
6245708,124,62,016,101,2002,01690,0   ,0   ,0   ,2   ,0   ,1 ,2   
6245708,124,62,016,101,2002,01700,0   ,8   ,0   ,0   ,0   ,1 ,8   
6245708,124,62,016,101,2002,01720,5   ,18  ,34  ,9   ,3   ,19,69  
6245708,124,62,016,101,2002,01800,1   ,2   ,0   ,0   ,8   ,5 ,11  
6245708,124,62,016,101,2002,02060,0   ,2   ,2   ,2   ,1   ,5 ,7   
6245708,124,62,016,101,2002,02460,6   ,2   ,2   ,0   ,0   ,7 ,10  
6245708,124,62,016,101,2002,02740,0   ,0   ,0   ,0   ,1   ,1 ,1   
6245708,124,62,016,101,2002,04740,2   ,0   ,0   ,11  ,0   ,5 ,13  
6245708,124,62,016,101,2002,05360,6   ,14  ,17  ,1   ,10  ,27,48  
6245708,124,62,016,101,2002,05420,2   ,3   ,3   ,1   ,3   ,10,12  
6245708,124,62,016,101,2002,05540,2   ,0   ,0   ,0   ,0   ,2 ,2   
6245708,124,62,016,101,2002,06970,0   ,1   ,0   ,0   ,0   ,1 ,1   
6237309,124,62,016,101,2004,00070,0   ,0   ,1   ,0   ,0   ,1 ,1   
6237309,124,62,016,101,2004,00100,3   ,0   ,5   ,1   ,0   ,5 ,9   
6237309,124,62,016,101,2004,00370,0   ,0   ,2   ,1   ,0   ,2 ,3   
6237309,124,62,016,101,2004,00510,23  ,54  ,15  ,4   ,5   ,27,101 
6237309,124,62,016,101,2004,00710,28  ,0   ,0   ,0   ,0   ,4 ,28  
6237309,124,62,016,101,2004,01300,0   ,0   ,0   ,0   ,2   ,1 ,2   
6237309,124,62,016,101,2004,01430,2   ,1   ,0   ,0   ,18  ,4 ,21  
6237309,124,62,016,101,2004,01480,0   ,6   ,0   ,2   ,2   ,3 ,10  
6237309,124,62,016,101,2004,01510,1   ,0   ,0   ,0   ,0   ,1 ,1   
6237309,124,62,016,101,2004,01540,11  ,3   ,6   ,3   ,0   ,9 ,23  
6237309,124,62,016,101,2004,01590,2   ,19  ,4   ,0   ,0   ,7 ,25  
